Regija,YearMonth,SO2,PM10,NO2
Goriška,2006-10,3.0,37.0,25.0
Jugovzhodna Slovenija,2006-10,,16.0,
Savinjska,2006-10,7.111111111111111,34.666666666666664,8.0
Podravska,2006-10,5.0,52.0,37.0
Osrednjeslovenska,2006-10,3.5,33.5,16.0
Pomurska,2006-10,8.0,34.0,16.0
Obalno-kraška,2006-10,,31.0,
Posavska,2006-10,2.5,25.0,
Koroška,2006-10,5.0,,
Zasavska,2006-10,8.428571428571429,43.333333333333336,17.0
Obalno-kraška,2006-11,,33.0,
Zasavska,2006-11,9.285714285714286,40.0,17.5
Pomurska,2006-11,6.0,37.0,23.0
Osrednjeslovenska,2006-11,5.5,32.0,21.0
Jugovzhodna Slovenija,2006-11,,12.0,
Goriška,2006-11,6.0,45.0,33.0
Posavska,2006-11,3.5,25.0,
Koroška,2006-11,10.0,,
Savinjska,2006-11,7.777777777777778,36.333333333333336,9.25
Podravska,2006-11,6.0,49.0,44.0
Goriška,2006-12,5.0,41.0,31.0
Savinjska,2006-12,7.0,38.666666666666664,16.5
Posavska,2006-12,2.5,24.0,
Jugovzhodna Slovenija,2006-12,,13.0,
Zasavska,2006-12,10.857142857142858,45.666666666666664,17.5
Pomurska,2006-12,4.0,39.0,22.0
Osrednjeslovenska,2006-12,4.5,27.5,19.5
Obalno-kraška,2006-12,,31.0,
Podravska,2006-12,6.0,48.0,39.0
Koroška,2006-12,4.0,,
Posavska,2007-01,4.0,23.0,
Osrednjeslovenska,2007-01,7.5,27.0,21.5
Koroška,2007-01,7.0,,
Podravska,2007-01,5.0,45.0,46.0
Savinjska,2007-01,9.5,31.0,14.5
Zasavska,2007-01,7.857142857142857,42.0,20.0
Pomurska,2007-01,6.0,37.0,25.0
Obalno-kraška,2007-01,,36.0,
Jugovzhodna Slovenija,2007-01,,13.0,
Goriška,2007-01,8.0,43.0,32.0
Posavska,2007-02,4.0,24.0,
Savinjska,2007-02,9.625,34.5,14.0
Goriška,2007-02,5.0,35.5,29.0
Osrednjeslovenska,2007-02,6.5,29.5,23.5
Podravska,2007-02,4.0,47.0,44.0
Pomurska,2007-02,5.0,32.0,20.0
Jugovzhodna Slovenija,2007-02,,14.0,
Obalno-kraška,2007-02,,28.0,
Zasavska,2007-02,8.142857142857142,48.0,19.5
Koroška,2007-02,7.0,,
Savinjska,2007-03,7.75,37.0,10.5
Zasavska,2007-03,9.428571428571429,44.666666666666664,20.0
Posavska,2007-03,4.0,25.0,
Obalno-kraška,2007-03,,29.0,
Pomurska,2007-03,5.0,31.0,17.0
Osrednjeslovenska,2007-03,5.0,24.0,19.0
Goriška,2007-03,5.0,28.666666666666668,23.0
Podravska,2007-03,3.0,55.0,42.0
Koroška,2007-03,4.0,,
Jugovzhodna Slovenija,2007-03,,16.0,
Zasavska,2007-04,5.857142857142857,37.0,18.0
Jugovzhodna Slovenija,2007-04,,22.0,
Podravska,2007-04,3.0,42.0,36.0
Koroška,2007-04,4.0,,
Posavska,2007-04,6.0,30.0,
Savinjska,2007-04,7.75,37.5,6.75
Obalno-kraška,2007-04,,42.0,
Osrednjeslovenska,2007-04,3.0,30.0,14.5
Goriška,2007-04,8.0,31.333333333333332,20.0
Pomurska,2007-04,7.0,35.0,16.0
Savinjska,2007-05,6.375,26.5,5.75
Posavska,2007-05,4.0,22.0,
Zasavska,2007-05,4.428571428571429,25.0,13.0
Goriška,2007-05,8.0,20.666666666666668,19.0
Osrednjeslovenska,2007-05,2.0,20.5,11.0
Pomurska,2007-05,3.0,25.0,12.0
Jugovzhodna Slovenija,2007-05,,16.0,
Obalno-kraška,2007-05,,28.0,
Koroška,2007-05,4.0,,
Podravska,2007-05,2.0,31.0,33.0
Obalno-kraška,2007-06,,29.0,
